org,tweet number,tweet,timestamp,compound,positive,neutral,negative
BBC,1,Pakistan police investigate 'joint suicide' of sisters-in-law https://t.co/Nts58kYpny,2019-11-06 00:25:58+00:00,-0.6705,-0.6705,-0.6705,-0.6705
BBC,2,Spanish election: Five face off in race to run Spain https://t.co/zNt7jIHevX,2019-11-06 00:23:25+00:00,0.0,0.0,0.0,0.0
BBC,3,How Cuban art fed Africa's liberation struggles https://t.co/n7VGv72CUK,2019-11-06 00:21:03+00:00,-0.3612,-0.3612,-0.3612,-0.3612
BBC,4,Gary Sondland: Explaining the Trump envoy transcript in 60 seconds https://t.co/J74zQCQuF8,2019-11-05 22:59:33+00:00,0.0,0.0,0.0,0.0
BBC,5,Brazil dam owner Vale failed to report danger signs - regulator https://t.co/yy1Uxs383a,2019-11-05 22:15:56+00:00,-0.7717,-0.7717,-0.7717,-0.7717
BBC,6,Mexico Mormons: Who are the US victims of ambush attack? https://t.co/mGjgjIukm0,2019-11-05 22:02:05+00:00,-0.6597,-0.6597,-0.6597,-0.6597
BBC,7,Jean-Claude Juncker: 'I've had enough Brexit' outgoing EU chief says https://t.co/FJK0q5rWX7,2019-11-05 21:34:07+00:00,0.296,0.296,0.296,0.296
BBC,8,"RT @BBCNorthAmerica: Who is Gordon Sondland and why did he revise his testimony on Ukraine aid? 

BBC's North America editor @BBCJonSopel e…",2019-11-05 20:37:42+00:00,0.0,0.0,0.0,0.0
BBC,9,Yemen war: Government and separatists agree deal to end infighting https://t.co/8FjWPapQOs,2019-11-05 19:58:51+00:00,-0.34,-0.34,-0.34,-0.34
BBC,10,Trump envoy Gordon Sondland revises testimony on Ukraine aid https://t.co/Gticmlsms6,2019-11-05 19:49:38+00:00,0.0,0.0,0.0,0.0
