source,tweet number,tweet,timestamp,compound,positive,neutral,negative
HomerJSimpson,1,I just woke up… is the Saint Patrick’s Day parade still going?,2018-03-20 19:00:02+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,2,"Today, the whole world is Irish and belligerent. #SmilingEyes",2018-03-17 20:30:00+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,3,Happy Butch Patrick’s Day! #DrinkingAlready,2018-03-17 12:00:02+00:00,0.6114,0.6114,0.6114,0.6114
HomerJSimpson,4,What a lousy selfie...the photographer is an idiot. https://t.co/59hBctyxse https://t.co/0xavKuhG0Q,2018-03-07 21:26:51+00:00,-0.7783,-0.7783,-0.7783,-0.7783
HomerJSimpson,5,Take it from me: the game's in Minnesota so I'm putting all my money on the Vikings.,2018-02-04 19:02:09+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,6,Halloween's no different than any other day of the year when I steal candy from strangers' houses and dress up like a lazy zombie.,2017-10-23 02:00:53+00:00,-0.6597,-0.6597,-0.6597,-0.6597
HomerJSimpson,7,"I can't decide what to be for Halloween, I have so many options! Fat pirate, fat M&amp;M, normal Chris Christie...",2017-10-23 01:00:14+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,8,"Sorry I've been off Twitter, I've been hibernating since February but I set my alarm to go off if candy was near by.",2017-10-23 00:00:49+00:00,-0.5023,-0.5023,-0.5023,-0.5023
HomerJSimpson,9,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO!,2017-10-22 23:03:23+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,10,BOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,2017-10-22 22:30:31+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,11,Which way is the barbecue pit? https://t.co/yBOFYwlZ58,2017-02-09 21:07:04+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,12,It figures. This was the one year I DIDN'T bet a month's pay on the Cubs winning the World Series! #AnnoyedGrunt #FlyTheW,2016-11-03 19:51:06+00:00,0.6108,0.6108,0.6108,0.6108
HomerJSimpson,13,Oh man!  I'm on live!  Here I come!,2016-05-16 03:27:08+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,14,Alfredo https://t.co/8dhVIBKaEv,2016-05-16 03:26:27+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,15,@amalia555 Happy birthday!,2016-05-16 03:24:16+00:00,0.6114,0.6114,0.6114,0.6114
HomerJSimpson,16,"The Cavaliers, because they're named after my attitude about basketball. https://t.co/kjtKi5wPVc",2016-05-16 03:22:59+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,17,You mean Jamie?  Great! https://t.co/Sh1hjbSSea,2016-05-16 03:18:58+00:00,0.6588,0.6588,0.6588,0.6588
HomerJSimpson,18,.@coolkit88 Not Tony the Tiger who thinks he's so greeeeeeaaaat.   #HomerLive https://t.co/Mr58CGwwxP,2016-05-16 03:17:41+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,19,Church https://t.co/kZiEmLNpfa,2016-05-16 03:15:53+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,20,@arthurefatima  The Smurfs had blue https://t.co/hzj21zoYCA,2016-05-16 03:14:57+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,21,Don't you have better things to do than ask me about Tron Legacy?  Only 12 times.  #Recognizer  #HomerLive https://t.co/UUweT1KQiq,2016-05-16 03:12:20+00:00,-0.3412,-0.3412,-0.3412,-0.3412
HomerJSimpson,22,"Reverse lipo-suction.  I mean, eating. https://t.co/KqsoUpKYdj",2016-05-16 03:10:11+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,23,Flanders-ectomy https://t.co/KqsoUpKYdj,2016-05-16 03:09:38+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,24,I agree with your beliefs 100% https://t.co/m9s6aAsws6,2016-05-16 03:08:28+00:00,0.3612,0.3612,0.3612,0.3612
HomerJSimpson,25,My religion doesn't allow me to answer that. https://t.co/m9s6aAsws6,2016-05-16 03:08:08+00:00,-0.1695,-0.1695,-0.1695,-0.1695
HomerJSimpson,26,"Listening Solutions, Inc. https://t.co/PblP5iDMCi",2016-05-16 03:07:08+00:00,0.1779,0.1779,0.1779,0.1779
HomerJSimpson,27,Any celebrity I sit on. https://t.co/83fJB3UcKd,2016-05-16 03:04:56+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,28,Spiderpig https://t.co/NyFLwU5t50,2016-05-16 03:04:20+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,29,Like brain cells dying https://t.co/KJRHBXSKO0,2016-05-16 03:03:04+00:00,0.3612,0.3612,0.3612,0.3612
HomerJSimpson,30,I just remember walking into Moe's and the rest is a blur. https://t.co/yV5hO3mNya,2016-05-16 03:01:07+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,31,Of course.  Four hunnurg and twurgety times. https://t.co/olK1daC4U7,2016-05-16 02:57:25+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,32,"Well, Donald Trump didn't blow up the world so we're still going live soon! Call and tweet me now! #HomerLive https://t.co/epOQS7XUso",2016-05-16 02:57:17+00:00,0.3987,0.3987,0.3987,0.3987
HomerJSimpson,33,The Krusty Burger drive thru menu.  #HomerLive https://t.co/lmudcKvfDb,2016-05-16 02:56:23+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,34,Bailey https://t.co/D2HsCJiRSX,2016-05-16 02:54:17+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,35,I like him a lot better than El Barto https://t.co/Qm4IT1KDis,2016-05-16 02:53:52+00:00,0.6597,0.6597,0.6597,0.6597
HomerJSimpson,36,Mexico City #HomerLive https://t.co/IHyWEsmK0T,2016-05-16 02:52:36+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,37,People in the theater don't like it but I like to sing along to Hamlet. https://t.co/OVInjbC8xI,2016-05-16 02:52:01+00:00,-0.4973,-0.4973,-0.4973,-0.4973
HomerJSimpson,38,Ladybugs - they have the greatest coach ever. https://t.co/SCDJWg0z5b,2016-05-16 02:49:56+00:00,0.6369,0.6369,0.6369,0.6369
HomerJSimpson,39,"No one's ever called me Tupac, so I'll go with Biggie. https://t.co/LD9kI6bYDP",2016-05-16 02:49:10+00:00,-0.296,-0.296,-0.296,-0.296
HomerJSimpson,40,I like the Mad Magazine parody:  Crockpot Orange https://t.co/Nm14Qp9nkS,2016-05-16 02:45:26+00:00,-0.1779,-0.1779,-0.1779,-0.1779
HomerJSimpson,41,1985.  Reaching for the remote I accidentally did one sit up. https://t.co/sPF2wlyxzt,2016-05-16 02:41:51+00:00,-0.1531,-0.1531,-0.1531,-0.1531
HomerJSimpson,42,"Lo siento, tuvé un D en mi clase de Latin. https://t.co/tu1rdWZY6D",2016-05-16 02:40:25+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,43,Turkey.  But only the moist part. https://t.co/lAGUc5LA4e,2016-05-16 02:38:32+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,44,Every fist fight I've gotten into on parent-teacher night. https://t.co/1sQX6eTF0w,2016-05-16 02:36:30+00:00,-0.3818,-0.3818,-0.3818,-0.3818
HomerJSimpson,45,"Okay, all you California dudes. I'm gonna be totally rad and gnarly on Live TV in like 30 minutes. Surfing! #HomerLive",2016-05-16 02:32:10+00:00,0.5707,0.5707,0.5707,0.5707
HomerJSimpson,46,I love that game on the ATM called Withdrawing Cash.  But it asks too many questions. https://t.co/x6mrtsb5nU,2016-05-16 02:31:42+00:00,0.3818,0.3818,0.3818,0.3818
HomerJSimpson,47,I like the one with the dome.  How'd he come up with that? https://t.co/fOxamV1p4v,2016-05-16 02:28:27+00:00,0.3612,0.3612,0.3612,0.3612
HomerJSimpson,48,"Sounds juicy!  More details, please.  I met my wife playing beer pong. https://t.co/mt4qpQiLCv",2016-05-16 02:26:54+00:00,0.5676,0.5676,0.5676,0.5676
HomerJSimpson,49,I would have preferred a running back in EVERY round. https://t.co/nu3HVHA8Rn,2016-05-16 02:24:11+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,50,"Janos Slynt, obviously.  #TeamJanos  #AllMenMustSlynt  #HomerLive https://t.co/LYMuEOhTCn",2016-05-16 02:23:01+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,51,Wait for Moe's to open. https://t.co/MrHeVT5mYG,2016-05-16 02:20:31+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,52,It's my favorite pasta at Luigi's! https://t.co/BzYQ3pwnmI,2016-05-16 02:19:52+00:00,0.5093,0.5093,0.5093,0.5093
HomerJSimpson,53,"West Coast, it'll be your turn to hear me say certified Live West Coast Remarks in less than one hour! #HomerLive https://t.co/epOQS7XUso",2016-05-16 02:19:07+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,54,For both taste and nutrition I'd have to go with Dorito dust.  #HomerLive https://t.co/9r9l4zC6zA,2016-05-16 02:16:20+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,55,Miss Piggy.  She's sexy and she's bacon. https://t.co/fNzAAn7PDe,2016-05-16 02:14:42+00:00,0.4215,0.4215,0.4215,0.4215
HomerJSimpson,56,Karate Kid Part 3 where Karate Kid is a girl. https://t.co/6JMMZBTBUV,2016-05-16 02:12:24+00:00,0.0,0.0,0.0,0.0
HomerJSimpson,57,"I've fought with both a bat and a super, so it's hard to say. https://t.co/HyzNiDfY1E",2016-05-16 02:11:37+00:00,0.2315,0.2315,0.2315,0.2315
