source,tweet number,tweet,timestamp,compound,positive,neutral,negative
Pontifex,1,"Faith calls for a journey, a “going out”. Purification takes places on the journey of life, a journey that is often uphill, because it leads upwards.",2019-11-08 12:30:00+00:00,0.4215,0.4215,0.4215,0.4215
Pontifex,2,"Christian hope, nourished by the light of Christ, makes the resurrection and life shine even in the world’s darkest nights.",2019-11-07 12:30:00+00:00,-0.0772,-0.0772,-0.0772,-0.0772
Pontifex,3,"Dear friends, in this month of November, we are invited to pray for the dead. Let us entrust our family members, friends and acquaintances to God, especially in the Eucharist, feeling them close to us in the spiritual company of the Church. #GeneralAudience",2019-11-06 12:30:00+00:00,0.8126,0.8126,0.8126,0.8126
Pontifex,4,https://t.co/Ba8bVNMMCa,2019-11-05 14:45:00+00:00,0.0,0.0,0.0,0.0
Pontifex,5,"We face this choice many times in our lives: do I accept the Lord's invitation or close myself off in my interests, in my smallness? Let us ask the Lord for the grace always to accept the invitation to His feast, which is free. #SantaMarta",2019-11-05 13:47:45+00:00,0.9062,0.9062,0.9062,0.9062
Pontifex,6,Holiness is the fruit of God's grace and of our free response to it. Holiness is a gift and a call.,2019-11-04 12:30:00+00:00,0.8402,0.8402,0.8402,0.8402
Pontifex,7,The #GospelOfTheDay (Lk 19:1-10) shows us that the merciful gaze of the Lord reaches us before we even realize that we need it to be saved.,2019-11-03 12:30:00+00:00,0.4588,0.4588,0.4588,0.4588
Pontifex,8,"Today we remember those who have walked before us, in the hope of meeting them, of reaching the place where we'll find the love that created us and awaits us: the love of the Father. #AllSoulsDay",2019-11-02 12:30:00+00:00,0.9371,0.9371,0.9371,0.9371
Pontifex,9,"The memory of the Saints leads us to raise our eyes to Heaven: not to forget the realities of the earth, but to face them with more courage and hope. #AllSaintsDay",2019-11-01 12:30:00+00:00,0.9094,0.9094,0.9094,0.9094
Pontifex,10,"The love of God is expressed in the tender tears of Jesus. As He cried for Jerusalem, so He cries for each of us when we don't allow ourselves to be loved. This is God's tender love. #SantaMarta",2019-10-31 12:07:00+00:00,0.805,0.805,0.805,0.805
Pontifex,11,"The protagonist of the Church's mission, is the Holy Spirit, Who guides the path of evangelizers, showing them the way to follow. Let us ask the Holy Spirit for an open heart, sensitive to God and hospitable towards our brothers and sisters. #GeneralAudience #MissionaryOctober",2019-10-30 12:30:00+00:00,0.5423,0.5423,0.5423,0.5423
Pontifex,12,Hope is to live in anticipation of meeting the Lord. It's like throwing an anchor to the other shore and clinging to the rope. #SantaMarta,2019-10-29 11:42:05+00:00,0.7003,0.7003,0.7003,0.7003
Pontifex,13,"In these last days of October, I invite you to pray the #HolyRosary for the mission of the Church today, especially for men and women missionaries who encounter the greatest difficulties. #MissionaryOctober",2019-10-28 12:30:00+00:00,0.7096,0.7096,0.7096,0.7096
Pontifex,14,"In the #GospelOfToday, looking at the tax collector, we rediscover where to start: from the conviction that we, all of us, are in need of salvation. #AmazonSynod https://t.co/e3FreQjUyy",2019-10-27 13:00:00+00:00,0.0,0.0,0.0,0.0
Pontifex,15,"In this #AmazonSynod we felt the need to place ourselves before the Lord, to put Him back at the centre, both personally and as the Church. Because we can only proclaim what we live.",2019-10-27 11:30:00+00:00,0.0,0.0,0.0,0.0
Pontifex,16,Let us ask the Lord for the light to really understand what is happening within us. #SantaMarta,2019-10-25 10:20:16+00:00,0.0,0.0,0.0,0.0
Pontifex,17,"As we celebrate the #ExtraordinaryMissionaryMonth, we ask the Holy Spirit to enable us to open the doors of the Gospel to all peoples and to be authentic witnesses of divine love. #GeneralAudience",2019-10-23 11:30:00+00:00,0.9217,0.9217,0.9217,0.9217
Pontifex,18,"Let us thank the Lord for all the good done, in the world and in our hearts, through the words, actions and holiness of #JohnPaulII. Let us remember always his call to: ""Open the doors to Christ!"" #SaintOfTheDay",2019-10-22 10:30:00+00:00,0.69,0.69,0.69,0.69
Pontifex,19,"During this missionary month, the Lord is also calling you: He is asking you to be a gift wherever you are, just as you are, with everyone around you. Courage! The Lord expects great things from you! #ExtraordinaryMissionaryMonth #MissionaryOctober",2019-10-21 11:30:00+00:00,0.8953,0.8953,0.8953,0.8953
Pontifex,20,"Go and show love to everyone, because your life is a precious mission: it is not a burden to be borne, but a gift to offer. #ExtraordinaryMissionaryMonth #MissionaryOctober https://t.co/2hdbjOPe7J",2019-10-20 13:30:00+00:00,0.8592,0.8592,0.8592,0.8592
Pontifex,21,"This is our mission: to show by our lives, and perhaps even by our words, that God loves everyone and never tires of anyone. #ExtraordinaryMissionaryMonth #MissionaryOctober",2019-10-20 12:00:00+00:00,0.7003,0.7003,0.7003,0.7003
Pontifex,22,"In the midst of this missionary month, let us ask ourselves: what really counts in my life? To what peaks do I want to ascend? #ExtraordinaryMissionaryMonth #MissionaryOctober https://t.co/6kve0dDX5A",2019-10-20 10:30:00+00:00,0.168,0.168,0.168,0.168
Pontifex,23,"I encourage you to bring the light of the Gospel to our contemporaries. May you be witnesses of freedom and mercy, allowing fraternity and dialogue to prevail over divisions. #ExtraordinaryMissionaryMonth #MissionaryOctober",2019-10-19 11:30:00+00:00,0.875,0.875,0.875,0.875
Pontifex,24,"Dear young people, as you pray the #HolyRosary for unity and peace, consider that in one of the rosary beads I too am with you! @acn_int",2019-10-18 16:15:00+00:00,0.8268,0.8268,0.8268,0.8268
Pontifex,25,"Saint Luke, you reveal the heart of Jesus and His mercy, help us to rediscover the joy of being Christians, witnesses of the goodness of the Lord. #SaintOfTheDay",2019-10-18 11:30:08+00:00,0.9001,0.9001,0.9001,0.9001
Pontifex,26,"""I was hungry and you gave me food, I was thirsty and you gave me drink"" (Mt 25,35). Today we ask for the grace of compassion and the capacity to share in the poverty of our brothers and sisters. #EndPoverty",2019-10-17 11:30:00+00:00,0.5719,0.5719,0.5719,0.5719
Pontifex,27,"Let us work together so that every person can have access to adequate food, according to the will of God. #ZeroHunger https://t.co/3yy0PeCkX6",2019-10-16 13:31:50+00:00,0.4588,0.4588,0.4588,0.4588
Pontifex,28,"Today we ask for the grace to allow ourselves to be amazed by God's surprises, to not hinder His creativity, but to encourage hearts to encounter the Lord. #GeneralAudience",2019-10-16 11:30:00+00:00,0.8298,0.8298,0.8298,0.8298
Pontifex,29,"How do we root out hypocrisy? There's a good medicine that can help us not be hypocrites: point the finger at ourselves and say to the Lord ""Look at the way I am, Lord!"", and say it with humility. #SantaMarta",2019-10-15 10:18:52+00:00,0.7088,0.7088,0.7088,0.7088
Pontifex,30,"The Lord gives each of us a vocation, a challenge to discover the talents and abilities we possess and to put them at the service of others.",2019-10-14 11:30:00+00:00,0.6486,0.6486,0.6486,0.6486
Pontifex,31,"The #GospelOfToday shows us  that the ultimate goal is the encounter with Jesus. He alone frees us from evil and heals our hearts.  Only an encounter with him can save, can make life full and beautiful. https://t.co/dkqYPEnUzt",2019-10-13 12:00:00+00:00,0.4404,0.4404,0.4404,0.4404
Pontifex,32,Today we give thanks to the Lord for our new #Saints. They walked by faith and now we invoke their intercession.,2019-10-13 10:30:00+00:00,0.6908,0.6908,0.6908,0.6908
Pontifex,33,"Let us pray for our communities, that by giving witness to the joy of Christian life, they may see a flowering of the call to holiness.",2019-10-12 11:30:00+00:00,0.8176,0.8176,0.8176,0.8176
Pontifex,34,"The Lord always reminds us how precious we are in His eyes, and He entrusts us with a mission.",2019-10-11 11:30:00+00:00,0.5719,0.5719,0.5719,0.5719
Pontifex,35,"May the Holy Spirit, the builder of fraternity, give us the grace to walk beside one another. May He make us courageous as we experience unprecedented ways of sharing and of mission.",2019-10-10 11:30:00+00:00,0.8658,0.8658,0.8658,0.8658
Pontifex,36,"Jonah is stubborn in his faith convictions, and the Lord is stubborn in His mercy. Because the Lord always wants to heal and to save, not to condemn. #SantaMarta",2019-10-08 09:47:07+00:00,0.6467,0.6467,0.6467,0.6467
Pontifex,37,"I ask you to accompany this important ecclesial event with prayers, so that it may be experienced in fraternal communion and docility to the Holy Spirit, who always shows the ways for bearing witness to the Gospel. #SinodoAmazonico https://t.co/YLXA70PjiO",2019-10-07 08:43:16+00:00,0.4019,0.4019,0.4019,0.4019
Pontifex,38,"So many of our brothers and sisters in Amazonia are bearing heavy crosses and awaiting the liberating consolation of the Gospel, the Church’s caress of love. For them, and with them, let us journey together. #SinodoAmazonico https://t.co/EVmARSJQWx",2019-10-06 12:00:00+00:00,0.6369,0.6369,0.6369,0.6369
Pontifex,39,"In the #GospelOfToday, Jesus shows us that the measure of faith is service. ""We are useless servants"" is an expression of humility and availability that does so much good for the Church. #Angelus",2019-10-06 10:30:00+00:00,0.4902,0.4902,0.4902,0.4902
Pontifex,40,"The willingness of a Cardinal to shed his own blood, symbolized by the red colour of his clothing, is guaranteed when it is rooted in compassion, received from God, and given to his brothers and sisters.",2019-10-05 15:13:17+00:00,0.7351,0.7351,0.7351,0.7351
Pontifex,41,"As we close the #SeasonOfCreation today, we entrust the #AmazonSynod to St. Francis of Assisi.",2019-10-04 11:30:00+00:00,0.0,0.0,0.0,0.0
Pontifex,42,"The Word of God fills us with joy and this joy is our strength. We are joyful Christians because we have welcomed the Word of God in our hearts. This is the message for today, for all of us. #SantaMarta",2019-10-03 11:59:47+00:00,0.9652,0.9652,0.9652,0.9652
Pontifex,43,May the memorial of our #HolyGuardianAngels strengthen in us the certainty that we are not alone. May it sustain us in proclaiming and living Christ's Gospel for a world renewed in God's love.,2019-10-02 12:11:53+00:00,0.8496,0.8496,0.8496,0.8496
Pontifex,44,"Through our small steps of love, God does great things. He accomplishes the salvation of the world. Let us entrust to St. Therese of the Child Jesus, our faithful friend, the #ExtraordinaryMissionaryMonth that begins today. #MissionaryOctober 
https://t.co/6kve0dDX5A",2019-10-01 13:30:00+00:00,0.9595,0.9595,0.9595,0.9595
Pontifex,45,#ExtraordinaryMissionaryMonth #MissionaryOctober https://t.co/m362IVSyIv,2019-10-01 10:00:00+00:00,0.0,0.0,0.0,0.0
Pontifex,46,"May the Sunday of the Word of God help his people to grow in religious and intimate familiarity with the sacred Scriptures. #AperuitIllis 
https://t.co/f9KizpVtkL",2019-09-30 11:15:00+00:00,0.5859,0.5859,0.5859,0.5859
Pontifex,47,The sweetness of God’s word leads us to share it with all those whom we encounter in this life and to proclaim the sure hope that it contains. #AperuitIllis https://t.co/f9KizpVtkL,2019-09-30 10:45:00+00:00,0.8625,0.8625,0.8625,0.8625
Pontifex,48,"The elderly and the young, together. This is the sign that a people cherishes life, that there is a culture of hope: the care of the young and the elderly. #SantaMarta",2019-09-30 10:17:45+00:00,0.8519,0.8519,0.8519,0.8519
Pontifex,49,"It's not just about migrants, it's about all of us, about the human family, called to build together a world more in accord with God's plan. #NotJustAboutMigrants @M_RSection
https://t.co/L2psLIrBoC",2019-09-29 10:30:00+00:00,0.0,0.0,0.0,0.0
Pontifex,50,We need others in order to live and to share the love and trust that the Lord gives us.,2019-09-28 11:30:00+00:00,0.8658,0.8658,0.8658,0.8658
Pontifex,51,"The true face of love is mercy. Practicing it, we become a disciple of Jesus and the heart of the Father shows itself.",2019-09-27 11:30:00+00:00,0.8591,0.8591,0.8591,0.8591
Pontifex,52,"When we become ""spiritually lukewarm"", we become half-Christians, without substance. Instead, the Lord wants conversion, today. #SantaMarta",2019-09-26 10:11:10+00:00,0.0,0.0,0.0,0.0
Pontifex,53,"Let us ask the Lord that, by contemplating the martyrs of yesterday and today, we may learn to live the Gospel faithfully every day. #GeneralAudience",2019-09-25 11:30:00+00:00,0.4215,0.4215,0.4215,0.4215
Pontifex,54,"Let us learn to call people by their name, as the Lord does with us, and to give up using adjectives.",2019-09-24 11:30:00+00:00,0.0,0.0,0.0,0.0
Pontifex,55,"We are called to be witnesses and messengers of God's mercy, to offer the world light where there is darkness, hope where despair reigns, salvation where sin abounds.",2019-09-23 11:30:00+00:00,-0.3612,-0.3612,-0.3612,-0.3612
Pontifex,56,"In today's Gospel, Jesus assures us that we are always in time to right our wrongs by doing good. Whoever has caused tears, make someone happy; whoever has misappropriated, give to someone in need. #Angelus",2019-09-22 11:30:00+00:00,0.7906,0.7906,0.7906,0.7906
Pontifex,57,Peace entails a conversion of heart and soul. It is a challenge that demands to be taken up ever anew. #PeaceDay,2019-09-21 11:00:00+00:00,0.5859,0.5859,0.5859,0.5859
Pontifex,58,"The Apostle Paul exhorts ministers to closeness: closeness to God, prayer, closeness of the bishop to his priests; closeness of priests to each other; closeness to the people of God. #SantaMarta",2019-09-20 11:04:50+00:00,0.4939,0.4939,0.4939,0.4939
