source,tweet number,tweet,timestamp,compound,positive,neutral,negative
TheSimpsons,1,It's a matter of life and death on #TheSimpsons this Sunday at 8/7c on @FOXTV! https://t.co/FKWqCkLMTS,2019-11-08 23:30:00+00:00,-0.6239,-0.6239,-0.6239,-0.6239
TheSimpsons,2,"RT @jillsobule: I've made it! Marge and Lisa say my name, are fans, and imply that I'm a lesbian who wore plaid onstage. I never ever wore…",2019-11-08 19:45:51+00:00,0.0,0.0,0.0,0.0
TheSimpsons,3,RT @YeardleySmith: This episode is one of my all-time favorites! It’s a Lisa-Homer tear-jerker gem &amp; one of the early eps. that proved cart…,2019-11-08 18:02:02+00:00,0.4753,0.4753,0.4753,0.4753
TheSimpsons,4,"If Lisa likes Aquatraz as much as the rest of the family likes jazz, does that mean she likes it or she doesn’t? #TheSimpsons https://t.co/QC9bNBZE9q",2019-11-07 19:28:52+00:00,0.8126,0.8126,0.8126,0.8126
TheSimpsons,5,"Does this place seem fishy to you? 🐠 
https://t.co/n2Xd75IxK2 #TheSimpsons https://t.co/Yl4nzJZ8vw",2019-11-06 15:00:01+00:00,0.0,0.0,0.0,0.0
TheSimpsons,6,RT @Joshstrangehill: @thatbilloakley @dailysimpsons @AlJean @MikeReissWriter @RealSirTomJones @ConanOBrien I still remember our office #!…,2019-11-06 09:58:04+00:00,0.0,0.0,0.0,0.0
TheSimpsons,7,Homer said it best. #TheSimpsons https://t.co/Qwl4lylGQt,2019-11-05 23:12:02+00:00,0.6369,0.6369,0.6369,0.6369
TheSimpsons,8,@FOXTV Be like Homer... VOTE! #TheSimpsons,2019-11-05 23:10:53+00:00,0.4199,0.4199,0.4199,0.4199
TheSimpsons,9,@Jessica15863693 We can get behind this! 😁 #TheSimpsons,2019-11-05 22:19:08+00:00,0.5093,0.5093,0.5093,0.5093
TheSimpsons,10,RT @scullymike: Loosen your belt for an all-new @TheSimpsons holiday classic. https://t.co/R2sFp4ywrc,2019-11-05 22:02:20+00:00,0.4019,0.4019,0.4019,0.4019
TheSimpsons,11,@Alex_Simpsons23 💛💛 #TheSimpsons,2019-11-05 22:01:40+00:00,0.0,0.0,0.0,0.0
TheSimpsons,12,Go out on a Tuesday? Who am I — ? #TheSimpsons https://t.co/wCRzggZ2rk,2019-11-05 22:00:00+00:00,0.0,0.0,0.0,0.0
TheSimpsons,13,@rob_mestas Is there also a crayon lodged in there? #TheSimpsons,2019-11-05 02:41:23+00:00,0.0,0.0,0.0,0.0
TheSimpsons,14,@LeahSunni Exceeeellllent. What was the most quotable moment? #TheSimpsons,2019-11-05 02:33:02+00:00,0.0,0.0,0.0,0.0
TheSimpsons,15,@J4CKMULL https://t.co/XemP1GhHpc,2019-11-04 21:52:07+00:00,0.0,0.0,0.0,0.0
TheSimpsons,16,"It's not a crime if you call it ""activism.""

👀: https://t.co/n2Xd75qWSu #TheSimpsons https://t.co/Ea8d3RYZYT",2019-11-04 15:00:00+00:00,0.431,0.431,0.431,0.431
TheSimpsons,17,"It takes practice if you want to grow up to be the drunk silent type.

Stare at your screen with us anytime: https://t.co/n2Xd75qWSu 📺 #TheSimpsons https://t.co/Cxog50mnIS",2019-11-04 04:45:00+00:00,-0.2732,-0.2732,-0.2732,-0.2732
TheSimpsons,18,@anthonycowboys 👀👀 #TheSimpsons,2019-11-04 04:32:19+00:00,0.0,0.0,0.0,0.0
TheSimpsons,19,@Alex_Simpsons23 Homer rolls are the best! 🍣 #TheSimpsons,2019-11-04 04:31:47+00:00,0.6696,0.6696,0.6696,0.6696
TheSimpsons,20,"🚤 Last boat not least, West Coast — we'll see you next Sunday on #TheSimpsons! 👋 https://t.co/5obrbHvdug",2019-11-04 04:30:20+00:00,0.5411,0.5411,0.5411,0.5411
TheSimpsons,21,@littlekev811 👋👋 #TheSimpsons,2019-11-04 04:29:41+00:00,0.0,0.0,0.0,0.0
TheSimpsons,22,@Rodaosim 😆😆 #TheSimpsons,2019-11-04 04:26:47+00:00,0.0,0.0,0.0,0.0
TheSimpsons,23,When life gives you 🍋🍋🍋... #TheSimpsons https://t.co/BoDv4VzYtD,2019-11-04 04:24:44+00:00,0.0,0.0,0.0,0.0
TheSimpsons,24,"Never fear, Wiggum is here! #TheSimpsons https://t.co/j5XLQ7zutH",2019-11-04 04:22:01+00:00,0.4442,0.4442,0.4442,0.4442
TheSimpsons,25,@peacefulAustinm 💛💛 #TheSimpsons,2019-11-04 04:17:33+00:00,0.0,0.0,0.0,0.0
TheSimpsons,26,@p9cker_girl EXACTLY. #TheSimpsons,2019-11-04 04:15:48+00:00,0.0,0.0,0.0,0.0
TheSimpsons,27,@Alex_Simpsons23 We 💛 you. #TheSimpsons,2019-11-04 04:14:14+00:00,0.0,0.0,0.0,0.0
TheSimpsons,28,"Where there's a will, there's aweigh. ⚓️ #TheSimpsons https://t.co/SKtikjAXFf",2019-11-04 04:13:10+00:00,0.0,0.0,0.0,0.0
TheSimpsons,29,"Listen, you can go big or you can go Homer. #TheSimpsons https://t.co/mNclpaLpIO",2019-11-04 04:12:13+00:00,0.0,0.0,0.0,0.0
TheSimpsons,30,@littlekev811 King of the world! 🙌 #TheSimpsons,2019-11-04 04:12:08+00:00,0.0,0.0,0.0,0.0
TheSimpsons,31,@MikeBaaden Absolutely beautiful. 🎶 #TheSimpsons,2019-11-04 04:09:04+00:00,0.6361,0.6361,0.6361,0.6361
TheSimpsons,32,@ayva_heningburg Thanks for the love! 💙 #TheSimpsons,2019-11-04 04:07:54+00:00,0.8122,0.8122,0.8122,0.8122
TheSimpsons,33,@MikeBaaden 🥃🥃 #TheSimpsons,2019-11-04 04:05:54+00:00,0.0,0.0,0.0,0.0
TheSimpsons,34,"Ah, the good ol' days. #TheSimpsons https://t.co/cvwFdhyG2E",2019-11-04 04:04:16+00:00,0.4404,0.4404,0.4404,0.4404
TheSimpsons,35,@shannonb1982 Thanks for watchin'! #TheSimpsons,2019-11-04 04:04:00+00:00,0.4926,0.4926,0.4926,0.4926
TheSimpsons,36,@littlekev811 Delicious. #TheSimpsons,2019-11-04 04:03:04+00:00,0.5719,0.5719,0.5719,0.5719
TheSimpsons,37,@p9cker_girl Let's get this party started! 🎉 #TheSimpsons,2019-11-04 04:01:25+00:00,0.7609,0.7609,0.7609,0.7609
TheSimpsons,38,@TheStainedOne Homer roll. 🍣#TheSimpsons,2019-11-04 04:00:34+00:00,0.0,0.0,0.0,0.0
TheSimpsons,39,Let's roll. 🍣 #TheSimpsons starts now on @FOXTV! https://t.co/gzedQtyBWc,2019-11-04 03:58:00+00:00,0.0,0.0,0.0,0.0
